; WARNING: THE FOLLOWING CODE CANNOT BE USED AS SPREADSHEET!
; Code generated by the Disaster Viewer. Please do not modify manually.
; Last modified: 27-3-08 23:00; by Sassem for EB1.1 (Except for the Flood because it's ;;)


; event			event_type
climate		sandy_desert
climate		rocky_desert
climate		semi_arid
min_scale	2
max_scale	5

event		plague
frequency	2
winter		true
summer		true
position	365, 90
position	367, 119
position	371, 152
position	374, 182
position	349, 167
position	350, 146
position	328, 168
position	316, 168
position	322, 150
position	320, 134
position	306, 152
position	284, 135
position	367, 119
position	250, 125
position	257, 114
position	239, 107
position	262, 96
position	234, 117
position	211, 116
position	199, 110
position	205, 99
position	199, 98
position	207, 92
position	202, 88
position	206, 70
position	264, 28
position	268, 21
position	272, 18
position	282, 24
position	178, 76
position	183, 69
position	190, 52
position	137, 78
position	191, 111
position	192, 124
position	177, 123
position	168, 118
position	162, 113
position	157, 116
position	165, 125
position	185, 139
position	203, 140
position	161, 129
position	184, 157
position	175, 151
position	158, 143
position	131, 139
position	189, 101
position	161, 101
position	146, 94
position	144, 108
position	139, 107
position	123, 126
position	127, 144
position	118, 157
position	111, 169
position	111, 175
position	121, 173
position	114, 188
position	101, 195
position	114, 119
position	109, 109
position	106, 107
position	106, 100
position	94, 104
position	95, 127
position	83, 140
position	67, 138
position	66, 160
position	62, 147
position	53, 141
position	57, 132
position	41, 122
position	35, 111
position	11, 110
position	54, 119
position	45, 150
position	47, 158
position	38, 167
position	41, 182
position	58, 184
position	55, 193
position	23, 193
position	82, 103
position	84, 101
position	239, 104
min_scale	2
max_scale	7
