;sorted regionally and nationally
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;
;      - - -     britons   - - -
;
rebel_type			Brigantes	//Britons
unit				celtic missile sotaroas merc

;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;
;      - - -     celts   - - -
;

rebel_type 			Veneti		//gauls Armoriae
category			peasant_revolt
chance				7
description			Veneti
unit				celtic cavalry chieftain brihentin
unit				celtic infantry gaelaiche
unit				celtic infantry gaelaiche
unit				celtic infantry lugoae
unit				celtic infantry lugoae
unit				celtic missile iaosatae regional
unit				celtic missile sotaroas merc


rebel_type 			Patavoae		//gauls Armoriae
category			peasant_revolt
chance				7
description			Patavoae
unit				celtic cavalry chieftain brihentin
unit				celtic infantry gaelaiche
unit				celtic infantry gaelaiche
unit				celtic infantry lugoae
unit				celtic infantry lugoae
unit				celtic missile iaosatae regional
unit				celtic missile sotaroas merc

rebel_type 			Sequani		//gauls Sequallra
category			peasant_revolt
chance				7
description			Sequani
unit				celtic cavalry chieftain brihentin
unit				celtic skirmisher cavalry leuce epos
unit				celtic infantry bataroas
unit				celtic infantry bataroas
unit				celtic infantry lugoae
unit				celtic infantry lugoae

rebel_type 			Nervii		//gauls
category			peasant_revolt
chance				10
description			Nervii
unit				celtic chariot cidainh bodyguards
unit				belgae cavalry taramonnos
unit				celtic infantry milnaht
unit				celtic infantry milnaht
unit				celtic infantry milnaht
unit				celtic infantry batacorii
unit				celtic infantry batacorii
unit				celtic infantry batacorii

rebel_type 			Arverni		//gauls Arvernotorg
category			peasant_revolt
chance				7
description			Arverni
unit				celtic cavalry chieftain brihentin
unit				celtic skirmisher cavalry leuce epos
unit				celtic skirmisher cavalry leuce epos
unit				celtic infantry bataroas
unit				celtic infantry bataroas
unit				celtic missile iaosatae regional
unit				celtic missile sotaroas merc

rebel_type 			Biturige		//gauls Batromorgan
category			peasant_revolt
chance				7
description			Biturige
unit				celtic cavalry chieftain brihentin
unit				celtic skirmisher cavalry leuce epos
unit				celtic infantry bataroas
unit				celtic infantry lugoae
unit				celtic missile iaosatae regional

rebel_type 			Ausci		//gauls
category			peasant_revolt
chance				0
description			Ausci
unit				celtic cavalry chieftain brihentin
unit				celtic skirmisher cavalry leuce epos
unit				celtic infantry gaesatae
unit				celtic infantry lugoae
unit				celtic infantry lugoae
unit				celtic infantry lugoae
unit				celtic infantry lugoae
unit				celtic missile iaosatae regional
unit				celtic missile sotaroas merc

rebel_type 			Allobroge		//gauls Lugonesis
category			peasant_revolt
chance				7
description			Allobroge
unit				celtic cavalry chieftain brihentin
unit				celtic infantry bataroas
unit				celtic infantry bataroas
unit				celtic infantry lugoae
unit				celtic infantry lugoae
unit				celtic missile iaosatae regional
unit				celtic missile sotaroas merc

rebel_type 			Seduni		//gauls
category			peasant_revolt
chance				0
description			Seduni
unit				celtic cavalry chieftain brihentin
unit				celtic skirmisher cavalry leuce epos
unit				celtic infantry gaesatae
unit				celtic infantry bataroas
unit				celtic infantry bataroas
unit				celtic infantry lugoae
unit				celtic infantry lugoae
unit				celtic missile iaosatae regional
unit				celtic missile sotaroas merc

rebel_type 			Tectosages		//gauls
category			peasant_revolt
chance				0
description			Tectosages
unit				celtic cavalry chieftain brihentin
unit				celtic skirmisher cavalry leuce epos
unit				celtic infantry gaesatae
unit				celtic infantry lugoae
unit				celtic infantry lugoae
unit				celtic infantry lugoae
unit				celtic infantry lugoae
unit				celtic missile iaosatae regional
unit				celtic missile sotaroas merc

rebel_type 			Boii_Galla		//celts Aemilia
category			peasant_revolt
chance				8
description			Boii_Galla
unit				celtic cavalry chieftain brihentin
unit				celtic skirmisher cavalry leuce epos
unit				celtic infantry gaesatae
unit				celtic infantry gaesatae
unit				celtic infantry botroas
unit				celtic infantry botroas
unit				celtic missile iaosatae regional
unit				celtic missile sotaroas merc

rebel_type 			Boii		//celts Mrogbonna
category			peasant_revolt
chance				6
description			Boii
unit				celtic cavalry chieftain brihentin
unit				celtic infantry botroas
unit				celtic infantry botroas
unit				celtic infantry lugoae
unit				celtic infantry lugoae
unit				celtic missile iaosatae regional
unit				celtic missile sotaroas merc

rebel_type 			Senones		//gauls
category			peasant_revolt
chance				0
description			Senones
unit				celtic cavalry chieftain brihentin
unit				celtic skirmisher cavalry leuce epos
unit				celtic cavalry brihentin
unit				celtic infantry gaesatae
unit				celtic infantry lugoae
unit				celtic infantry lugoae
unit				celtic missile iaosatae regional
unit				celtic missile iaosatae regional

rebel_type 			Helvetii	//celts
category			peasant_revolt
chance				0
description			Helvetii
unit				celtic cavalry chieftain brihentin
unit				celtic skirmisher cavalry leuce epos
unit				celtic infantry mori gaesum
unit				celtic infantry mori gaesum
unit				celtic infantry gaesatae
unit				celtic infantry kluddacorii
unit				celtic infantry kluddacorii
unit				celtic infantry lugoae
unit				celtic infantry lugoae

rebel_type 			Raetic	//celts Rhaetia
category			peasant_revolt
chance				5
description			Raetic
unit				celtic skirmisher cavalry leuce epos
unit				celtic infantry kluddacorii
unit				celtic infantry appea gaedotos
unit				celtic infantry appea gaedotos
unit                            celtic infantry teskatos
unit                            celtic infantry teskatos
unit				celtic infantry lugoae
unit				celtic missile iaosatae regional

rebel_type 			Pictones	//gaul
category			peasant_revolt
chance				0
description			Pictones
unit				celtic cavalry chieftain brihentin
unit				celtic skirmisher cavalry leuce epos
unit				celtic infantry gaesatae
unit				celtic infantry gaelaiche
unit				celtic infantry lugoae
unit				celtic infantry lugoae
unit				celtic missile iaosatae regional

rebel_type 			Aedui		//gauls Mrogaedu
category			peasant_revolt
chance				7
description			Aedui
unit				celtic cavalry chieftain brihentin
unit				celtic cavalry brihentin
unit				celtic skirmisher cavalry leuce epos
unit				celtic infantry botroas
unit				celtic infantry botroas
unit				celtic infantry lugoae
unit				celtic infantry lugoae
unit				celtic missile iaosatae regional
unit				celtic missile sotaroas merc

rebel_type 			Insubre	//gauls Insubramrog
category			peasant_revolt
chance				8
description			Insubre
unit				celtic cavalry chieftain brihentin
unit				celtic skirmisher cavalry leuce epos
unit				celtic infantry gaesatae
unit				celtic infantry botroas
unit				celtic infantry gaeroas
unit				celtic infantry kluddacorii
unit				celtic infantry kluddacorii
unit				celtic missile iaosatae regional

rebel_type 			Vocontii	//gauls Greseoallra
category			peasant_revolt
chance				3
description			Vocontii
unit				celtic cavalry chieftain brihentin
unit				celtic skirmisher cavalry leuce epos
unit				celtic infantry gaeroas
unit				greek infantry taxeis hoplitai
unit				greek infantry taxeis hoplitai
unit				greek missile toxotai

rebel_type 			Volcae_Volcallra		//gauls Volcallra
category			peasant_revolt
chance				5
description			Volcae_Volcallra
unit				celtic cavalry chieftain brihentin
unit				celtic skirmisher cavalry leuce epos
unit				celtic infantry gaecori
unit				celtic infantry gaecori
unit				celtic infantry gaecori

rebel_type 			Liguriae	//gauls Liguria
category			peasant_revolt
chance				7
description			Liguriae
unit				celtic cavalry chieftain brihentin
unit				celtic skirmisher cavalry leuce epos
unit				celtic infantry gaesatae
unit				celtic infantry gaemile liguriae
unit				celtic infantry gaemile liguriae
unit				celtic infantry gaemile liguriae

rebel_type 			Galatai	//celts Galatia
category			peasant_revolt
chance				8
description			Galatai
unit				celtic cavalry lavotuxri
unit				celtic infantry galatiantindanotae mercenary
unit				celtic infantry galatiantindanotae mercenary
unit				galatian infantry kluddolon
unit				galatian infantry kluddolon
unit				galatian infantry kluddolon

rebel_type 			Eraviscii		//celts Eravacouw
category			peasant_revolt
chance				7
description			Eraviscii
unit				celtic cavalry chieftain brihentin
unit				celtic skirmisher cavalry leuce epos
unit				celtic infantry gaecori
unit				celtic infantry gaecori

rebel_type 			Cotinii		//celts Coutinoe
category			peasant_revolt
chance				5
description			Cotinii
unit				celtic cavalry chieftain brihentin
unit				celtic skirmisher cavalry leuce epos
unit				celtic infantry lugoae
unit				celtic missile sotaroas merc

rebel_type 			Tevrisci		//celts
category			peasant_revolt
chance				0
description			Tevrisci
unit				celtic cavalry chieftain brihentin
unit				celtic infantry gaesatae
unit				celtic infantry lugoae
unit				celtic infantry lugoae
unit				celtic infantry lugoae
unit				celtic missile sotaroas merc

rebel_type 			Lugii		//celts Lugouw
category			peasant_revolt
chance				7
description			Lugii
unit				celtic cavalry chieftain brihentin
unit				celtic infantry lugian
unit				germanic infantry karotovas
unit                            celtic infantry teceitos	
unit				celtic infantry lugoae
unit				celtic missile iaosatae regional

rebel_type 			Helvetii		//celts Helvetis
category			peasant_revolt
chance				10
description			Helvetii
unit				celtic cavalry chieftain brihentin
unit				celtic infantry mori gaesum
unit				celtic infantry mori gaesum
unit				celtic infantry mori gaesum
unit				celtic infantry lugoae
unit				celtic infantry lugoae
unit				celtic infantry lugoae

rebel_type 			Coritanes		//celts Corieltauvae
category			peasant_revolt
chance				7
description			Coritanes
unit				celtic chariot cidainh bodyguards
unit				celtic infantry cwmyr
unit				celtic infantry cwmyr
unit				celtic infantry cemmeinarn
unit				celtic infantry cemmeinarn
unit				celtic infantry cemmeinarn
unit				celtic infantry cemmeinarn

rebel_type 			Nori		//celts
category			peasant_revolt
chance				0
description			Nori
unit				celtic cavalry chieftain brihentin
unit				celtic skirmisher cavalry leuce epos
unit				celtic infantry gaesatae
unit				celtic infantry botroas
unit				celtic infantry botroas
unit				celtic infantry lugoae
unit				celtic infantry lugoae
unit				celtic infantry lugoae

rebel_type 			Norici		//celts Noricae
category			peasant_revolt
chance				6
description			Norici
unit				celtic cavalry chieftain brihentin
unit				celtic skirmisher cavalry leuce epos
unit				celtic skirmisher cavalry leuce epos
unit				celtic infantry gaecori
unit				celtic infantry gaecori
unit				celtic infantry gaecori

rebel_type 			Lemovici	//gaul Lemorisae
category			peasant_revolt
chance				5
description			Lemovici
unit				celtic cavalry chieftain brihentin
unit				celtic infantry bataroas
unit				celtic infantry lugoae
unit				celtic infantry lugoae
unit				celtic missile sotaroas merc
unit				celtic missile sotaroas merc

rebel_type 			Tarbelli	//gaul Aquitae
category			peasant_revolt
chance				3
description			Tarbelli
unit				celtic cavalry chieftain brihentin
unit				celtic skirmisher cavalry leuce epos
unit				celtic infantry bataroas
unit				celtic infantry lugoae
unit				celtic infantry lugoae
unit				celtic missile sotaroas merc

rebel_type 			Aulerci		//gauls
category			peasant_revolt
chance				8
description			Aulerci
unit				celtic cavalry chieftain brihentin
unit				celtic skirmisher cavalry leuce epos
unit				celtic skirmisher cavalry leuce epos
unit				celtic infantry bataroas
unit				celtic infantry lugoae
unit				celtic infantry lugoae
unit				celtic missile iaosatae regional

rebel_type 			Volcae		//celts Vindelicos
category			peasant_revolt
chance				4
description			Volcae
unit				celtic cavalry chieftain brihentin
unit				celtic infantry kluddacorii
unit				celtic infantry kluddacorii
unit				celtic infantry gaelaiche
unit				celtic infantry lugoae
unit				celtic missile iaosatae regional
unit				celtic missile sotaroas merc

;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;
;      - - -     germans   - - -
;
rebel_type 			Batavi		//Germans
category			peasant_revolt
chance				3
description			Batavi
unit				germanic infantry general ferulharjoz
unit				germanic cavalry ridoharjoz
unit				germanic infantry frameharjoz
unit				germanic infantry klumbokarlaz
unit				germanic infantry frankamannoz slave
unit				germanic missile bugimannoz

rebel_type 			Gotanoz		//Germans
category			peasant_revolt
chance				8
description			Gotanoz
unit				germanic infantry general ferulharjoz
unit				germanic cavalry ridoharjoz
unit				germanic infantry frameharjoz
unit				germanic infantry frankamannoz slave
unit				germanic infantry swainoz
unit				germanic missile bugimannoz

rebel_type 			Hattoz		//Germans Hattolandam
category			peasant_revolt
chance				10
description			Hattoz
unit				germanic infantry general ferulharjoz
unit				germanic cavalry ridoharjoz
unit				germanic infantry sahsnotoz
unit				germanic infantry frankamannoz slave
unit				germanic infantry swainoz
unit				germanic missile bugimannoz

rebel_type 			Silengoz		//Germans Silengolandam
category			peasant_revolt
chance				7
description			Silengoz
unit				germanic infantry general ferulharjoz
unit				germanic cavalry ridoharjoz
unit				germanic infantry sahsnotoz
unit				germanic infantry swainoz
unit				germanic infantry swainoz

rebel_type 			Skandzawarjoz		//Germans Skandza
category			peasant_revolt
chance				9
description			Skandzawarjoz
unit				germanic infantry general ferulharjoz
unit				germanic cavalry ridoharjoz
unit				germanic infantry frankamannoz slave
unit				germanic infantry frankamannoz slave
unit				germanic missile bugimannoz

rebel_type 			Sweboz		//Germans Swebolandam
category			peasant_revolt
chance				8
description			Sweboz
unit				germanic infantry general ferulharjoz
unit				germanic cavalry ridoharjoz
unit				germanic infantry sahsnotoz
unit				germanic infantry sahsnotoz
unit				germanic infantry swainoz
unit				germanic infantry frankamannoz slave
unit				germanic missile bugimannoz

rebel_type 			Saxones		//Germans
category			peasant_revolt
chance				3
description			Saxones
unit				germanic infantry general ferulharjoz
unit				germanic infantry frankamannoz slave
unit				germanic infantry frankamannoz slave
unit				germanic missile bugimannoz

rebel_type 			Gepids		//Germans
category			peasant_revolt
chance				3
description			Gepids
unit				germanic infantry general ferulharjoz
unit				germanic cavalry ridoharjoz
unit				germanic infantry frameharjoz
unit				germanic infantry klumbokarlaz
unit				germanic infantry frankamannoz slave
unit				germanic infantry frankamannoz slave
unit				germanic missile bugimannoz

rebel_type 			Alamanni	//germans
category			peasant_revolt
chance				3
description			Alamanni
unit				germanic infantry general ferulharjoz
unit				germanic cavalry ridoharjoz
unit				germanic infantry sahsnotoz
unit				germanic infantry sahsnotoz
unit				germanic infantry klumbokarlaz
unit				germanic infantry frankamannoz slave
unit				germanic infantry frankamannoz slave
unit				germanic missile bugimannoz
unit				germanic missile bugimannoz

rebel_type 			Treveri		//germans
category			peasant_revolt
chance				0
description			Treveri
unit				germanic infantry general ferulharjoz
unit				germanic cavalry ridoharjoz
unit				germanic infantry sahsnotoz
unit				germanic infantry klumbokarlaz
unit				germanic infantry frameharjoz
unit				germanic infantry frankamannoz slave

rebel_type 			Bastarnoz		//Germans Bastarnolandam
category			peasant_revolt
chance				9
description			Bastarnoz
unit				germanic cavalry ridoharjoz
unit				germanic cavalry ridoharjoz
unit				germanic infantry sahsnotoz
unit				germanic infantry bastarnoz swaiut
unit				germanic infantry bastarnoz swaiut
unit				germanic missile bugimannoz
unit				germanic infantry swainoz

rebel_type 			Rugoz		//Germans Rugolandam
category			peasant_revolt
chance				7
description			Rugoz
unit				germanic cavalry ridoharjoz
unit				germanic infantry frameharjoz
unit				germanic infantry frameharjoz
unit				germanic infantry frankamannoz slave
unit				germanic missile bugimannoz

rebel_type 			Habukoz		//Germans Habukolandam
category			peasant_revolt
chance				8
description			Habukoz
unit				germanic infantry general ferulharjoz
unit				germanic cavalry ridoharjoz
unit				germanic infantry sahsnotoz
unit				germanic infantry habukoz swaiut
unit				germanic infantry habukoz swaiut
unit				germanic missile bugimannoz

rebel_type 			Kimbrioz		//Germans Kimbrolandam
category			peasant_revolt
chance				9
description			Kimbrioz
unit				germanic infantry general ferulharjoz
unit				germanic cavalry ridoharjoz
unit				germanic infantry frameharjoz
unit				germanic infantry frankamannoz slave
unit				germanic infantry swainoz
unit				germanic infantry swainoz
unit				germanic missile bugimannoz

rebel_type 			Heruskoz		//Germans Heruskolandam
category			peasant_revolt
chance				10
description			Heruskoz
unit				germanic infantry general ferulharjoz
unit				germanic cavalry ridoharjoz
unit				germanic infantry sahsnotoz
unit				germanic infantry frankamannoz slave
unit				germanic missile bugimannoz


;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;
;      - - -     proto-slavs, balts, finno-ugrians   - - -
;
rebel_type 			Seliun		//balts Seliun_Gentis
category			peasant_revolt
chance				7
description			Seliun
unit				germanic infantry kirslininkas
unit				germanic cavalry ridoharjoz mercenary

rebel_type 			Sembu		//balts Sembu_Gentys
category			peasant_revolt
chance				9
description			Sembu
unit				germanic infantry kirslininkas
unit				germanic infantry karas viras
unit				germanic cavalry ridoharjoz mercenary

rebel_type 			Saami		//finno-ugrians Sapmi
category			peasant_revolt
chance				9
description			Saami
unit				germanic infantry karas viras
unit				germanic missile lankininkas
unit				germanic cavalry ridoharjoz mercenary

rebel_type 			Tissagaetae		//finno-ugrians Dahyu_Thissakata
category			peasant_revolt
chance				7
description			Tissagaetae
unit				steppe infantry voinu spearmen
unit				steppe missile cavalry sauromatae fat aexsdzhytae
unit				steppe missile cavalry ragon sauromatae uaezdaettae

rebel_type 			Vendi		//slavs Venedu_Tauta
category			peasant_revolt
chance				7
description			Vendi
unit				germanic infantry kirslininkas
unit				germanic missile lankininkas
unit				germanic cavalry ridoharjoz mercenary

rebel_type 			Neurii	//slavs Neurije
category			peasant_revolt
chance				7
description			Neurii
unit				steppe infantry voinu spearmen
unit				steppe infantry voinu spearmen
unit				germanic missile medininkas
unit				germanic cavalry ridoharjoz mercenary

rebel_type 			Boudinai		//slavs Budinije
category			peasant_revolt
chance				7
description			Boudinai
unit				germanic infantry kirslininkas
unit				germanic infantry kirslininkas
unit				steppe missile cavalry skuda baexdzhyntae
unit				steppe missile cavalry yancai uaezdaettae

;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;
;      - - -     thracians, illyrians and dacians   - - -
;
rebel_type 			Crobyzii	//thrace Mikra_Skythia
category			peasant_revolt
chance				6
description			Crobyzii
unit				dacian infantry getikoi stratiotai
unit				steppe missile cavalry skuda baexdzhyntae
unit				greek infantry taxeis hoplitai

rebel_type 			Agathyrsi	//thrace Getia_Koile
category			peasant_revolt
chance				9
description			Agathyrsi
unit				dacian infantry getikoi stratiotai
unit				dacian infantry getikoi stratiotai
unit				dacian infantry drapanai
unit				dacian skirmisher komatai
unit				celtic missile sotaroas merc
unit				celtic missile sotaroas merc

rebel_type 			Getai	//thrace Getia
category			peasant_revolt
chance				6
description			Getai
unit				dacian infantry getikoi stratiotai
unit				dacian infantry getikoi stratiotai
unit				dacian infantry drapanai
unit				dacian infantry drapanai
unit				celtic missile sotaroas merc

rebel_type 			Odrysai		//thrace Odrysai
category			peasant_revolt
chance				5
description			Odrysai
unit				dacian infantry getikoi stratiotai
unit				greek skirmisher akontistai
unit				dacian infantry drapanai
unit                            dacian missile peltastaithrakioi

rebel_type 			Paionians	//thrace
category			peasant_revolt
chance				0
description			Paionians
unit				dacian infantry getikoi stratiotai
unit				greek cavalry mistophoroi hippeis
unit				dacian infantry komatai kostobokon
unit				greek skirmisher akontistai
unit				greek infantry taxeis hoplitai

rebel_type 			Dardanoi	//thrace and illyrians Dardanoia
category			peasant_revolt
chance				7
description			Dardanoi
unit                            hellenistic infantry illyrian thureophoroi
unit                            hellenistic infantry illyrian pirate
unit				dacian infantry getikoi stratiotai
unit				greek infantry taxeis hoplitai
unit                            dacian missile peltastaithrakioi


rebel_type 			Triballi		//thrace Thraikia_Hypertera
category			peasant_revolt
chance				5
description			Triballi
unit                            dacian infantry taxeistribalii
unit				dacian infantry getikoi stratiotai
unit				greek cavalry mistophoroi hippeis
unit				greek infantry taxeis hoplitai
unit                            dacian infantry komatai kostobokon	
unit                            dacian infantry taxeistribalii

rebel_type 			Moesii		//thrace
category			peasant_revolt
chance				3
description			Moesii
unit				dacian infantry getikoi stratiotai
unit				dacian infantry getikoi stratiotai
unit				greek cavalry mistophoroi hippeis
unit				greek infantry taxeis hoplitai
unit				greek skirmisher akontistai

rebel_type 			Scordiscii	//thracians, illyrians or celts Scorcouw
category			peasant_revolt
chance				7
description			Scordiscii
unit				greek cavalry mistophoroi hippeis
unit                            celtic infantry cordinau orca
unit				celtic skirmisher cavalry leuce epos
unit				celtic missile sotaroas merc
unit                            dacian missile peltastaithrakioi

rebel_type 			Illyrians		//illyria Illyria_Hellenike
category			peasant_revolt
chance				3
description			Illyrians
unit                            hellenistic infantry illyrian thureophoroi
unit                            hellenistic infantry illyrian pirate
unit				greek infantry taxeis hoplitai
unit				greek infantry taxeis hoplitai
unit				greek skirmisher akontistai
unit				greek cavalry mistophoroi hippeis

rebel_type 			Autariatae		//illyria Pannonia_Illyrica
category			peasant_revolt
chance				7
description			Autariatae
unit                            hellenistic infantry illyrian thureophoroi
unit				greek infantry taxeis hoplitai
unit                            hellenistic infantry illyrian pirate
unit				greek skirmisher akontistai
unit				greek cavalry mistophoroi hippeis

rebel_type 			Dalmate		//illyria Dalmatia
category			peasant_revolt
chance				7
description			Dalmate
unit                            hellenistic infantry illyrian thureophoroi
unit                            hellenistic infantry illyrian pirate
unit                            hellenistic infantry illyrian pirate
unit				greek infantry taxeis hoplitai

rebel_type 			Delmatae		//illyria
category			peasant_revolt
chance				0
description			Delmatae
unit                            hellenistic infantry illyrian thureophoroi
unit				greek infantry taxeis hoplitai
unit				greek skirmisher akontistai
unit				greek infantry taxeis hoplitai
unit                            hellenistic infantry illyrian pirate

rebel_type 			Breuci		//illyriabs or celts Pannonia
category			peasant_revolt
chance				8
description			Breuci
unit				celtic skirmisher cavalry leuce epos
unit				celtic skirmisher cavalry leuce epos
unit				celtic infantry lugoae
unit				greek cavalry mistophoroi hippeis
unit				celtic missile sotaroas merc

rebel_type 			Carpi		//dacians
category			peasant_revolt
chance				0
description			Carpi
unit				celtic infantry lugoae
unit				celtic infantry lugoae
unit				dacian infantry komatai kostobokon
unit				greek cavalry mistophoroi hippeis
unit				celtic missile sotaroas merc
unit				dacian infantry drapanai

rebel_type 			Daci		//dacians
category			peasant_revolt
chance				0
description			Daci
unit				dacian skirmisher komatai	
unit				celtic infantry lugoae
unit				dacian infantry komatai kostobokon	
unit                            dacian missile peltastaithrakioi
unit				greek cavalry mistophoroi hippeis
unit				celtic missile sotaroas merc
unit				dacian infantry drapanai

;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;
;      - - -     scythian nomads   - - -
;
rebel_type 			Saka		// saka Saka_Yabgu
category			peasant_revolt
chance				7
description			Saka
unit				steppe missile cavalry saka riders
unit				steppe missile cavalry saka horse archer
unit				steppe missile cavalry saka horse archer
unit                            steppe missile subeshi

rebel_type 			Haraiva		// saka Aria
category			peasant_revolt
chance				7
description			Haraiva
unit				eastern missile eransahr arshtbara merc
unit				eastern skirmisher cavalry harauvatish asabara
unit				eastern skirmisher cavalry harauvatish asabara

rebel_type 			Mazsakat		// saka Dahyu_Mazsakata
category			peasant_revolt
chance				7
description			Mazsakat
unit				steppe missile cavalry sauromatae fat aexsdzhytae
unit				eastern missile thanvare payahdag
unit				steppe missile cavalry aursa baexdzhyntae
unit				steppe missile cavalry daha baexdzhyntae
unit				steppe missile fistaegfataexsdzhytae

rebel_type 			Tuhara		// saka Xiyu
category			peasant_revolt
chance				7
description			Tuhara
